,A̱o,Trimestre,Ingresos (miles de pesos)
0,2022,1,51432896
1,2021,4,45467887
2,2021,3,42999944
3,2021,2,38239667
4,2021,1,36676371
5,2020,4,33539703
6,2020,3,31997445
7,2020,2,32102476
8,2020,1,29946216
9,2019,4,24169251
10,2019,3,21652748
11,2019,2,20743118
12,2019,1,20207414
13,2018,4,16637687
14,2018,3,15410981
15,2018,2,14319467
16,2018,1,13171459
17,2017,4,11226127
18,2017,3,10065998
19,2017,2,9678647
20,2017,1,8701201
21,2016,4,7483980
22,2016,3,6912442
23,2016,2,6534241
24,2016,1,5936845
25,2015,4,5376899
26,2015,3,5153739
27,2015,2,4701791
28,2015,1,4876385
29,2014,4,3950441
30,2014,3,3478638
31,2014,2,3270816
32,2014,1,2984054
